patternID,pointSeqNo,stopID,stopNumber,latitude,longitude,isPublic
15750,1,68000,1141,43.140777587890625,-80.2647476196289,True
15750,2,0,0,43.141171,-80.264863,True
15750,3,0,0,43.141188,-80.264611,True
15750,4,0,0,43.140283,-80.264485,True
15750,5,0,0,43.140248301658005,-80.26471852621445,True
15750,6,0,0,43.140214,-80.265389,True
15750,7,0,0,43.140178,-80.265857,True
15750,8,0,0,43.140171,-80.265953,True
15750,9,0,0,43.140164,-80.266051,True
15750,10,0,0,43.140075,-80.267314,True
15750,11,0,0,43.14007,-80.267396,True
15750,12,0,0,43.140007,-80.26739,True
15750,13,0,0,43.139261,-80.267318,True
15750,14,0,0,43.139204,-80.267312,True
15750,15,0,0,43.139108,-80.267298,True
15750,16,0,0,43.138863,-80.267261,True
15750,17,0,0,43.138827,-80.267254,True
15750,18,0,0,43.138733,-80.267239,True
15750,1,68313,1482,43.138370513916016,-80.26728820800781,True
15750,2,0,0,43.138379,-80.267188,True
15750,3,0,0,43.138368,-80.267186,True
15750,4,0,0,43.138274,-80.267172,True
15750,5,0,0,43.138368,-80.265844,True
15750,6,0,0,43.138373,-80.26577,True
15750,7,0,0,43.138401,-80.265374,True
15750,8,0,0,43.138442,-80.2648,True
15750,9,0,0,43.138451,-80.264664,True
15750,10,0,0,43.138461,-80.264534,True
15750,11,0,0,43.138533,-80.263514,True
15750,12,0,0,43.138536,-80.263471,True
15750,13,0,0,43.138628,-80.262123,True
15750,14,68316,1485,43.13855743408203,-80.26211547851562,True
15750,15,0,0,43.13858858197996,-80.2614676952362,True
15750,16,68315,1484,43.13872146606445,-80.25952911376953,True
15750,17,0,0,43.138768645318976,-80.2588874101639,True
15750,18,0,0,43.13902308174181,-80.25517523288727,True
15750,19,68471,1666,43.1388053894043,-80.25515747070312,True
15750,20,0,0,43.1381031912074,-80.25506258010866,True
15750,21,0,0,43.13719894489637,-80.25494992733003,True
15750,22,68472,1667,43.13652420043945,-80.2548828125,True
15750,23,0,0,43.13645196439456,-80.25481581687929,True
15750,24,0,0,43.13631102417937,-80.2547997236252,True
15750,25,0,0,43.136168126129526,-80.2547809481621,True
15750,26,0,0,43.1360056525987,-80.25475680828094,True
15750,27,0,0,43.135866668874314,-80.25473803281785,True
15750,28,0,0,43.13571398216509,-80.25471389293672,True
15750,29,0,0,43.13557108272008,-80.25470048189165,True
15750,30,0,0,43.13544355077216,-80.25467768311503,True
15750,31,0,0,43.135466062397676,-80.25431156158449,True
15750,32,0,0,43.13547487129235,-80.2541519701481,True
15750,33,0,0,43.13548368018576,-80.2540084719658,True
15750,34,0,0,43.135491510312185,-80.25386229157449,True
15750,35,0,0,43.13550325549993,-80.25370806455614,True
15750,36,0,0,43.13551402192004,-80.25355115532876,True
15750,37,0,0,43.13552087327732,-80.25340631604196,True
15750,38,0,0,43.13552870339897,-80.2532695233822,True
15750,39,0,0,43.13553849104963,-80.25314882397652,True
15750,40,0,0,43.135564917698574,-80.25282427668573,True
15750,41,0,0,43.13558351422247,-80.25258019566537,True
15750,42,0,0,43.135606025796456,-80.25230258703233,True
15750,43,0,0,43.13562853736217,-80.25200620293617,True
15750,44,0,0,43.13564419757689,-80.25180771946907,True
15750,45,0,0,43.135647133866726,-80.25172591209413,True
15750,46,0,0,43.135458232267986,-80.25169506669046,True
15750,47,0,0,43.135298693157566,-80.25166824460031,True
15750,48,0,0,43.13514013240228,-80.25164142251015,True
15750,49,0,0,43.13499233774784,-80.25161728262903,True
15750,50,0,0,43.134855309272275,-80.2515944838524,True
15750,51,0,0,43.1346947898104,-80.25157839059831,True
15750,52,0,0,43.13454112139422,-80.25155827403069,True
15750,53,0,0,43.1343913677254,-80.25154352188112,True
15750,54,0,0,43.13424063490412,-80.25152742862703,True
15750,55,0,0,43.134123180500126,-80.25151133537294,True
15750,56,0,0,43.13402059770284,-80.25150060653688,True
15750,57,68473,1668,43.134029388427734,-80.2516098022461,True
15750,58,0,0,43.13403691354132,-80.25153413414955,True
15750,59,0,0,43.132646194316465,-80.25139331817627,True
15750,60,0,0,43.13171250581994,-80.25127261877061,True
15750,61,0,0,43.13171642068615,-80.25173932313919,True
15750,62,68336,1505,43.131797790527344,-80.25215148925781,True
15750,63,0,0,43.131831909126944,-80.25241255760194,True
15750,64,0,0,43.1307827179951,-80.2551645040512,True
15750,65,68337,1506,43.13042449951172,-80.2549057006836,True
15750,66,0,0,43.12962780396184,-80.25433838367462,True
15750,67,0,0,43.129216727602824,-80.25413990020752,True
15750,68,68338,1507,43.12873077392578,-80.25408172607422,True
15750,69,0,0,43.12792084023654,-80.2539896965027,True
15750,70,0,0,43.1269890371867,-80.25386095046997,True
15750,71,68339,1508,43.126346588134766,-80.25377655029297,True
15750,72,0,0,43.1262686419067,-80.2537697553635,True
15750,73,0,0,43.1264076318739,-80.2517929673195,True
15750,74,0,0,43.126444826318654,-80.25063693523408,True
15750,75,68522,1509,43.126033782958984,-80.24971771240234,True
15750,76,0,0,43.1260180676467,-80.2496767044067,True
15750,77,0,0,43.1255717297036,-80.2488505840302,True
15750,78,0,0,43.1251606260853,-80.2478581666947,True
15750,79,68340,1510,43.124900817871094,-80.24720001220703,True
15750,80,0,0,43.12489,-80.24709,True
15750,81,0,0,43.1244,-80.24637,True
15750,82,0,0,43.123451,-80.247733,True
15750,83,68525,6505,43.12348556518555,-80.24775695800781,True
15750,84,0,0,43.12348428931103,-80.24775602728653,True
15750,85,0,0,43.123451,-80.247733,True
15750,86,0,0,43.12337,-80.24785,True
15750,87,0,0,43.12229,-80.24942,True
15750,88,0,0,43.12227303472563,-80.24933069944382,True
15750,89,68345,1515,43.12227249145508,-80.24932861328125,True
15750,90,0,0,43.12186786051139,-80.25011937628733,True
