patternID,pointSeqNo,stopID,stopNumber,latitude,longitude,isPublic,distance_to_previous
15750,1,68000,1141,43.14077758789063,-80.2647476196289,True,0.0
15750,2,0,0,43.141171,-80.264863,True,0.044702923164123096
15750,3,0,0,43.141188,-80.264611,True,0.02058802419851356
15750,4,0,0,43.140283,-80.264485,True,0.10106261052831755
15750,5,0,0,43.140248301658005,-80.26471852621445,True,0.01938571146763579
15750,6,0,0,43.140214,-80.265389,True,0.054679540160814305
15750,7,0,0,43.140178,-80.265857,True,0.03828377652062882
15750,8,0,0,43.140171,-80.265953,True,0.007848736303181007
15750,9,0,0,43.140164,-80.266051,True,0.008010663502545222
15750,10,0,0,43.140075,-80.267314,True,0.10322654060020772
15750,11,0,0,43.14007,-80.267396,True,0.0066942369667087765
15750,12,0,0,43.140007,-80.26739,True,0.007016015626415272
15750,13,0,0,43.139261,-80.267318,True,0.0830839577598982
15750,14,0,0,43.139204,-80.267312,True,0.006351227004852942
15750,15,0,0,43.139108,-80.267298,True,0.010725810418079702
15750,16,0,0,43.138863,-80.267261,True,0.0273843343535764
15750,17,0,0,43.138827,-80.267254,True,0.004039779410190443
15750,18,0,0,43.138733,-80.267239,True,0.010514034717735779
15750,1,68313,1482,43.138370513916016,-80.26728820800781,True,0.04046905862160623
15750,2,0,0,43.138379,-80.267188,True,0.008207026859380594
15750,3,0,0,43.138368,-80.267186,True,0.0012328349242548776
15750,4,0,0,43.138274,-80.267172,True,0.01050490252094514
15750,5,0,0,43.138368,-80.265844,True,0.10854669735914693
15750,6,0,0,43.138373,-80.26577,True,0.006046044997788516
15750,7,0,0,43.138401,-80.265374,True,0.032367484229529585
15750,8,0,0,43.138442,-80.2648,True,0.046920922847577526
15750,9,0,0,43.138451,-80.264664,True,0.011109725311065575
15750,10,0,0,43.138461,-80.264534,True,0.010634680592439322
15750,11,0,0,43.138533,-80.263514,True,0.08336935157487761
15750,12,0,0,43.138536,-80.263471,True,0.0035142141492717775
15750,13,0,0,43.138628,-80.262123,True,0.11014511277212137
15750,14,68316,1485,43.13855743408203,-80.26211547851562,True,0.00786339776899196
15750,15,0,0,43.13858858197996,-80.2614676952362,True,0.05281550071552331
15750,16,68315,1484,43.13872146606445,-80.25952911376953,True,0.1584073165449841
15750,17,0,0,43.138768645318976,-80.2588874101639,True,0.052469693991525575
15750,18,0,0,43.13902308174181,-80.25517523288727,True,0.3033317467094783
15750,19,68471,1666,43.1388053894043,-80.25515747070312,True,0.024227761382394117
15750,20,0,0,43.1381031912074,-80.25506258010866,True,0.07839207742494131
15750,21,0,0,43.13719894489637,-80.25494992733003,True,0.1008748548583276
15750,22,68472,1667,43.13652420043945,-80.2548828125,True,0.07515962423577136
15750,23,0,0,43.13645196439456,-80.25481581687929,True,0.009701191133689738
15750,24,0,0,43.13631102417937,-80.2547997236252,True,0.0157124593921933
15750,25,0,0,43.136168126129526,-80.2547809481621,True,0.01594864026334383
15750,26,0,0,43.1360056525987,-80.25475680828094,True,0.01815659979684959
15750,27,0,0,43.13586666887432,-80.25473803281785,True,0.015515831907984577
15750,28,0,0,43.13571398216509,-80.25471389293672,True,0.017076114222448285
15750,29,0,0,43.13557108272008,-80.25470048189165,True,0.015912921636148446
15750,30,0,0,43.13544355077216,-80.25467768311503,True,0.014289121235044774
15750,31,0,0,43.13546606239768,-80.25431156158449,True,0.029893042384774245
15750,32,0,0,43.13547487129235,-80.2541519701481,True,0.013021440994215204
15750,33,0,0,43.13548368018576,-80.2540084719658,True,0.011716182785112685
15750,34,0,0,43.135491510312185,-80.25386229157449,True,0.01192523668398474
15750,35,0,0,43.13550325549993,-80.25370806455614,True,0.012615811506816232
15750,36,0,0,43.13551402192004,-80.25355115532876,True,0.012822287427633475
15750,37,0,0,43.13552087327732,-80.25340631604196,True,0.011808902989613741
15750,38,0,0,43.13552870339897,-80.2532695233822,True,0.011163603126108777
15750,39,0,0,43.13553849104963,-80.25314882397652,True,0.009880302946964464
15750,40,0,0,43.135564917698574,-80.25282427668573,True,0.02656836133090517
15750,41,0,0,43.13558351422247,-80.25258019566537,True,0.019965965816364114
15750,42,0,0,43.135606025796456,-80.25230258703233,True,0.02272467412572581
15750,43,0,0,43.13562853736217,-80.25200620293617,True,0.024243567602757487
15750,44,0,0,43.13564419757689,-80.25180771946907,True,0.01624233453199904
15750,45,0,0,43.135647133866726,-80.25172591209413,True,0.006663948791298205
15750,46,0,0,43.13545823226799,-80.25169506669046,True,0.021135619063563395
15750,47,0,0,43.135298693157566,-80.25166824460031,True,0.017857900183525108
15750,48,0,0,43.13514013240228,-80.25164142251015,True,0.01775002925651547
15750,49,0,0,43.13499233774784,-80.25161728262903,True,0.016536355199412735
15750,50,0,0,43.13485530927228,-80.2515944838524,True,0.01533582635225697
15750,51,0,0,43.1346947898104,-80.25157839059831,True,0.017880974166073087
15750,52,0,0,43.13454112139422,-80.25155827403069,True,0.017150128451966125
15750,53,0,0,43.1343913677254,-80.25154352188112,True,0.016680178288972128
15750,54,0,0,43.13424063490412,-80.25152742862703,True,0.01679683091459036
15750,55,0,0,43.134123180500126,-80.25151133537294,True,0.013114171307693703
15750,56,0,0,43.13402059770284,-80.25150060653688,True,0.011429854843316021
15750,57,68473,1668,43.13402938842773,-80.2516098022461,True,0.008938061095153348
15750,58,0,0,43.13403691354132,-80.25153413414955,True,0.006213122669030124
15750,59,0,0,43.13264619431647,-80.25139331817627,True,0.15492665777872788
15750,60,0,0,43.13171250581994,-80.25127261877061,True,0.10419228666135973
