patternID,pointSeqNo,stopID,stopNumber,latitude,longitude,isPublic
15786,151,0,0,43.18259045984307,-80.25614082813263,True
15786,152,0,0,43.18303246995584,-80.25625348091125,True
15786,153,68143,1285,43.183189392089844,-80.25625610351562,True
15786,154,0,0,43.183454919108115,-80.2561676502228,True
15786,155,0,0,43.18372090411167,-80.25594770908357,True
15786,156,0,0,43.184217667117935,-80.25532007217409,True
15786,157,0,0,43.18447387008052,-80.25474876165391,True
15786,158,0,0,43.18454036533016,-80.25457710027695,True
15786,159,68144,1286,43.18458557128906,-80.25434875488281,True
15786,160,0,0,43.18476136372775,-80.25322794914247,True
15786,161,0,0,43.185003874323016,-80.25274515151978,True
15786,162,0,0,43.18526985257782,-80.25247693061829,True
15786,163,0,0,43.18559058952022,-80.25238037109375,True
15786,164,0,0,43.1859895526333,-80.25243401527405,True
15786,165,0,0,43.18713166791274,-80.25279879570007,True
15786,166,68145,1287,43.187042236328125,-80.25325012207031,True
15786,167,68147,1289,43.18623733520508,-80.25787353515625,True
15786,168,0,0,43.185907413382,-80.25990128517152,True
15786,169,68148,1290,43.185367584228516,-80.26129150390625,True
15786,170,0,0,43.18493542384935,-80.26233941316606,True
15786,171,0,0,43.18450320622899,-80.26318430900574,True
15786,172,68149,1291,43.183719635009766,-80.26509857177734,True
15786,173,0,0,43.18294250355512,-80.26688575744629,True
15786,174,0,0,43.182637399121965,-80.26742219924925,True
15786,175,0,0,43.182580680822085,-80.26760727167131,True
15786,176,68150,1292,43.182518005371094,-80.26802062988281,True
15786,177,0,0,43.182465288256246,-80.26833415031435,True
15786,178,0,0,43.1831615519514,-80.26853799819946,True
15786,179,0,0,43.183509680821224,-80.26875257492067,True
15786,180,0,0,43.18395364003915,-80.2691897749901,True
15786,181,0,0,43.1845071177144,-80.26979327201845,True
15786,182,68033,1174,43.18433380126953,-80.27008819580078,True
15789,1,68033,1174,43.18433380126953,-80.27008819580078,True
15789,1,68034,1175,43.18266296386719,-80.27277374267578,True
15789,2,68035,1176,43.1806640625,-80.27613830566406,True
15789,3,0,0,43.18048,-80.27631,True
15789,4,0,0,43.18119,-80.27699,True
15789,5,0,0,43.18154,-80.27728,True
15789,6,0,0,43.18209481800495,-80.27747935673688,True
15789,7,0,0,43.18192,-80.27818,True
15789,8,68036,1177,43.18208312988281,-80.27820587158203,True
15789,9,0,0,43.18294250355512,-80.27860701084137,True
15789,10,0,0,43.1830168236348,-80.27873039245605,True
15789,11,0,0,43.183010956263374,-80.27879744768144,True
15789,12,0,0,43.18282906746958,-80.27949750423431,True
15789,13,0,0,43.18275865875874,-80.27961015701294,True
15789,14,0,0,43.18264522233161,-80.27967989444734,True
15789,15,0,0,43.18226383969482,-80.28147965669633,True
15789,16,68037,1178,43.1768684387207,-80.27947235107422,True
15789,17,0,0,43.17563131248507,-80.27893424034119,True
15789,18,68038,1179,43.17472839355469,-80.27859497070312,True
15789,19,68039,1180,43.17293167114258,-80.27782440185547,True
15789,20,68158,1300,43.170536041259766,-80.27698516845703,True
15789,21,0,0,43.16894537692835,-80.27635833944272,True
15789,22,68159,1301,43.16862487792969,-80.27623748779297,True
15789,23,0,0,43.16748270203538,-80.2758381942491,True
15789,24,68040,1181,43.16557312011719,-80.27507781982422,True
15789,25,0,0,43.16443306720941,-80.2746632926721,True
15789,26,68041,1182,43.1634635925293,-80.2742919921875,True
15789,27,0,0,43.162336559503245,-80.27382178034424,True
15789,28,0,0,43.161178328489015,-80.27337116922975,True
15789,29,68042,1183,43.15949630737305,-80.27276611328125,True
15789,30,0,0,43.15919847555793,-80.27276515960693,True
15789,31,0,0,43.15901064615699,-80.272775888443,True
15789,32,0,0,43.1585802016021,-80.27296900749207,True
15789,33,0,0,43.158329759738415,-80.27303338050842,True
15789,34,0,0,43.15703840258677,-80.2739667892456,True
15789,35,68043,1184,43.15570831298828,-80.27494049072266,True
15789,36,68163,1307,43.152530670166016,-80.2771224975586,True
15789,37,0,0,43.15146177424629,-80.27787744998932,True
15789,38,0,0,43.15135806370656,-80.27797669172287,True
15789,39,0,0,43.15074558089271,-80.27836561203003,True
15789,40,0,0,43.15010765296999,-80.27887254953384,True
15789,41,0,0,43.14990805452233,-80.27894765138628,True
15789,42,68164,1308,43.14955520629883,-80.27864837646484,True
15789,43,0,0,43.1470744689981,-80.27653098106386,True
15789,44,68166,1310,43.14731979370117,-80.2760009765625,True
15789,45,0,0,43.147594,-80.275497,True
15789,46,68167,1311,43.1461067199707,-80.2742691040039,True
15789,47,0,0,43.146128,-80.274228,True
15789,48,0,0,43.146016,-80.27413,True
15789,49,0,0,43.144557,-80.272785,True
15789,50,0,0,43.144069,-80.27236,True
15789,51,0,0,43.143439,-80.271813,True
15789,52,0,0,43.143313,-80.271704,True
15789,53,68169,1313,43.14329147338867,-80.2717514038086,True
15789,54,0,0,43.143313,-80.271704,True
15789,55,0,0,43.142172,-80.27072,True
15789,56,0,0,43.141203,-80.269898,True
15789,57,68171,1315,43.14118194580078,-80.26994323730469,True
15789,58,0,0,43.14113,-80.26984,True
15789,59,0,0,43.14029,-80.2691,True
15789,60,0,0,43.14005,-80.26825,True
15789,61,0,0,43.14006,-80.26741,True
15789,62,0,0,43.140052599361205,-80.26726827761827,True
15789,63,0,0,43.14018,-80.26594,True
15789,64,0,0,43.140262707626576,-80.26474155494718,True
15789,65,68000,1141,43.140777587890625,-80.2647476196289,True
